Date,Open,High,Low,Close,Adj Close,Volume
2012-06-11,303.375000,316.500000,300.274994,315.318756,256.583466,28041096
2012-06-18,316.875000,318.043762,303.306244,309.306244,251.690918,33018032
2012-06-25,309.362488,314.875000,303.693756,313.649994,255.225601,43934936
2012-07-02,312.875000,314.850006,305.000000,305.581238,248.659821,28662744
2012-07-09,302.637512,312.799988,277.250000,278.725006,226.806152,112343648
2012-07-16,278.750000,281.250000,270.287506,277.343750,225.682190,55883712
2012-07-23,275.000000,276.500000,262.656250,268.581238,218.551895,39918680
2012-07-30,270.000000,279.500000,269.693756,276.062500,224.639587,22644968
2012-08-06,277.774994,290.125000,275.924988,289.131256,235.274002,29322016
2012-08-13,287.662506,294.375000,286.168762,293.881256,239.139175,20281648
2012-08-20,293.881256,310.375000,293.881256,305.600006,248.675079,38802672
2012-08-27,303.774994,306.431244,294.343750,295.206238,240.217361,36160288
2012-09-03,295.750000,311.750000,291.524994,310.906250,252.992935,24367144
2012-09-10,312.000000,330.587494,309.325012,329.012512,267.726501,33740104
2012-09-17,331.125000,331.250000,318.375000,324.162506,263.779968,40962480
2012-09-24,325.000000,326.375000,315.774994,316.868744,257.844788,49701792
2012-10-01,318.912506,327.524994,257.568756,315.856262,257.020844,35446192
2012-10-08,315.600006,322.506256,288.875000,299.418762,243.645248,94762040
2012-10-15,298.212494,301.500000,293.137512,297.918762,242.424652,48909264
2012-10-22,296.031250,299.750000,290.131256,291.200012,238.466537,23987072
2012-10-29,290.125000,300.575012,288.412506,298.512512,244.454941,31042432
2012-11-05,297.887512,301.750000,293.125000,293.587494,240.421738,27638312
2012-11-12,294.375000,298.375000,284.850006,292.918762,239.874130,27085600
2012-11-19,293.000000,299.875000,289.100006,297.193756,243.374893,25771288
2012-11-26,298.843750,310.000000,298.843750,304.606262,249.445114,26921168
2012-12-03,304.625000,306.625000,288.887512,290.143738,237.601608,44206136
2012-12-10,290.118744,293.000000,283.250000,284.850006,233.266464,52049136
2012-12-17,283.375000,290.162506,280.625000,287.106262,235.114227,44611280
2012-12-24,290.137512,291.362488,284.581238,290.399994,237.811417,22762040
2012-12-31,289.375000,294.368744,287.937500,293.693756,240.508728,29815056
2013-01-07,293.887512,340.250000,288.649994,339.012512,277.620667,131532600
2013-01-14,344.975006,354.618744,344.031250,348.506256,285.395233,102021128
2013-01-21,345.381256,353.500000,345.381256,351.831238,288.118134,38122384
2013-01-28,351.500000,353.450012,344.000000,346.368744,283.644836,45105808
2013-02-04,347.625000,352.087494,343.125000,348.681244,285.538544,38950640
2013-02-11,350.156250,353.500000,342.718750,348.575012,285.451569,30248328
2013-02-18,347.875000,356.875000,345.375000,355.068756,290.769287,27205632
2013-02-25,358.750000,371.174988,358.450012,364.225006,298.267487,49883688
2013-03-04,365.750000,376.225006,359.018738,371.281250,304.045898,49364000
2013-03-11,372.725006,373.750000,355.362488,359.781250,294.628448,36903464
2013-03-18,358.281250,361.812500,353.443756,357.899994,293.087830,44727976
2013-03-25,355.649994,362.118744,354.081238,361.168762,295.764679,20800488
2013-04-01,363.843750,374.943756,356.250000,358.231262,293.359131,37371320
2013-04-08,356.250000,366.950012,283.587494,287.081238,235.093658,136155048
2013-04-15,286.250000,294.625000,275.500000,286.962494,234.996414,109235224
2013-04-22,286.450012,286.625000,275.312500,276.500000,226.428589,48163176
2013-04-29,275.750000,290.500000,273.250000,288.493744,236.250397,36299776
2013-05-06,289.375000,298.125000,289.375000,296.443756,242.760757,29357024
2013-05-13,294.375000,296.587494,289.156250,293.968750,240.733948,31816088
2013-05-20,293.250000,304.125000,291.750000,293.487488,240.339813,29453320
2013-05-27,292.649994,304.362488,289.562500,301.462494,246.870621,37563584
2013-06-03,315.625000,328.125000,301.987488,305.850006,253.371689,64135992
2013-06-10,307.500000,314.312500,296.875000,299.368744,248.002533,25912424
2013-06-17,301.431244,307.500000,292.843750,302.343750,250.467041,25806536
2013-06-24,300.312500,313.468750,293.125000,312.356262,258.761627,41072760
2013-07-01,308.625000,310.443756,299.075012,307.024994,254.345139,24217912
2013-07-08,310.625000,363.200012,307.562500,350.524994,290.381287,89469952
2013-07-15,348.131256,358.125000,335.131256,355.931244,294.859924,55232360
2013-07-22,352.774994,369.125000,352.750000,364.162506,301.678864,31872224
